,year,month,pageview_mobile_views,pageview_desktop_views,pageview_all_views,pagecount_all_views
28,2008,01,,,,4930902570.0
29,2008,02,,,,4818393763.0
30,2008,03,,,,4955405809.0
31,2008,04,,,,5159162183.0
32,2008,05,,,,5584691092.0
33,2008,06,,,,5712104279.0
34,2008,07,,,,5306302874.0
35,2008,08,,,,5140155519.0
36,2008,09,,,,5479533823.0
37,2008,10,,,,5679440782.0
38,2008,11,,,,5415832071.0
39,2008,12,,,,5211708451.0
40,2009,01,,,,5802681551.0
41,2009,02,,,,5547320860.0
42,2009,03,,,,6295159057.0
43,2009,04,,,,5988817321.0
44,2009,05,,,,6267516733.0
45,2009,06,,,,5818924182.0
46,2009,07,,,,5801646978.0
47,2009,08,,,,5790850384.0
48,2009,09,,,,4057515768.0
49,2009,10,,,,6016107147.0
50,2009,11,,,,5768486910.0
51,2009,12,,,,5426505977.0
52,2010,01,,,,5703465285.0
53,2010,02,,,,5762451418.0
54,2010,03,,,,6661347946.0
55,2010,04,,,,6618552152.0
56,2010,05,,,,6410578775.0
57,2010,06,,,,4898035014.0
58,2010,07,,,,5296177638.0
59,2010,08,,,,7381346660.0
60,2010,09,,,,7546488744.0
61,2010,10,,,,10172844562.0
62,2010,11,,,,6948678354.0
63,2010,12,,,,7001952100.0
64,2011,01,,,,7568511227.0
65,2011,02,,,,6906248849.0
66,2011,03,,,,7326545928.0
67,2011,04,,,,6835492088.0
68,2011,05,,,,7009799378.0
69,2011,06,,,,6536675534.0
70,2011,07,,,,6571730164.0
71,2011,08,,,,6514500361.0
72,2011,09,,,,5837738935.0
73,2011,10,,,,6974424665.0
74,2011,11,,,,7507641641.0
75,2011,12,,,,6396357939.0
76,2012,01,,,,7808477339.0
77,2012,02,,,,7530127141.0
78,2012,03,,,,7358543625.0
79,2012,04,,,,7220029422.0
80,2012,05,,,,7784479302.0
81,2012,06,,,,7524265988.0
82,2012,07,,,,7819376527.0
83,2012,08,,,,7885641059.0
84,2012,09,,,,7913689733.0
85,2012,10,,,,8379960050.0
86,2012,11,,,,8219987195.0
87,2012,12,,,,8033826900.0
88,2013,01,,,,9126210673.0
89,2013,02,,,,8100597857.0
90,2013,03,,,,8701419671.0
91,2013,04,,,,8049296729.0
92,2013,05,,,,8089099883.0
93,2013,06,,,,7759959725.0
94,2013,07,,,,8237301982.0
95,2013,08,,,,9306122925.0
96,2013,09,,,,9985326806.0
97,2013,10,,,,10775158269.0
98,2013,11,,,,10414877805.0
99,2013,12,,,,7102459747.0
100,2014,01,,,,7026531269.0
101,2014,02,,,,6718243109.0
102,2014,03,,,,7464128273.0
103,2014,04,,,,7216245221.0
104,2014,05,,,,7543277646.0
105,2014,06,,,,6577352648.0
106,2014,07,,,,6761059566.0
107,2014,08,,,,6687313714.0
108,2014,09,,,,7564600999.0
109,2014,10,,,,9669079813.0
110,2014,11,,,,9181027274.0
111,2014,12,,,,9109282269.0
112,2015,01,,,,9589069146.0
113,2015,02,,,,8694244918.0
114,2015,03,,,,9677435301.0
115,2015,04,,,,9421035574.0
116,2015,05,,,,9657871297.0
117,2015,06,,,,8203576103.0
0,2015,07,3288755294.0,4376666686.0,7665421980.0,8483698717.0
1,2015,08,3302333038.0,4332482183.0,7634815221.0,8304022031.0
2,2015,09,3170203333.0,4485491704.0,7655695037.0,8582061182.0
3,2015,10,3268499132.0,4477532755.0,7746031887.0,8781786976.0
4,2015,11,3236601070.0,4287720220.0,7524321290.0,8515190628.0
5,2015,12,3376275307.0,4100012037.0,7476287344.0,8651858036.0
6,2016,01,3717836846.0,4436179457.0,8154016303.0,9309261244.0
7,2016,02,3334862272.0,4250997185.0,7585859457.0,8680940753.0
8,2016,03,3386684191.0,4286590426.0,7673274617.0,8827529692.0
9,2016,04,3258764002.0,4149383857.0,7408147859.0,8873620523.0
10,2016,05,3395033236.0,4191778094.0,7586811330.0,8748968139.0
11,2016,06,3354790945.0,3888839711.0,7243630656.0,8347710510.0
12,2016,07,3496573762.0,4337865827.0,7834439589.0,8864627560.0
13,2016,08,3515819303.0,4695046216.0,8210865519.0,329544740.0
14,2016,09,3393285781.0,4135006498.0,7528292279.0,
15,2016,10,3509283891.0,4361737690.0,7871021581.0,
16,2016,11,3591044925.0,4392068236.0,7983113161.0,
17,2016,12,3776543855.0,4209608578.0,7986152433.0,
18,2017,01,4231961542.0,4521980398.0,8753941940.0,
19,2017,02,3711761399.0,4026702163.0,7738463562.0,
20,2017,03,3903493989.0,4319971902.0,8223465891.0,
21,2017,04,3639623119.0,3951456992.0,7591080111.0,
22,2017,05,3686687720.0,4187870579.0,7874558299.0,
23,2017,06,3519383193.0,3604550997.0,7123934190.0,
24,2017,07,3725059253.0,3565444544.0,7290503797.0,
25,2017,08,3621406302.0,3575572313.0,7196978615.0,
26,2017,09,3531604369.0,3547447892.0,7079052261.0,
27,2017,10,132731720.0,99979918.0,232711638.0,
